triangles,lighting,textured,duration_s,avg_fps,cpu_percent_mean,cpu_percent_min,cpu_percent_max,cpu_percent_delta,process_cpu_percent_mean,process_cpu_percent_min,process_cpu_percent_max,process_cpu_percent_delta,gpu_util_mean,gpu_util_min,gpu_util_max,gpu_util_delta,gpu_mem_util_mean,gpu_mem_util_min,gpu_mem_util_max,gpu_mem_util_delta,gpu_mem_used_mb_mean,gpu_mem_used_mb_min,gpu_mem_used_mb_max,gpu_mem_used_mb_delta,gpu_temp_c_mean,gpu_temp_c_min,gpu_temp_c_max,gpu_temp_c_delta,gpu_power_w_mean,gpu_power_w_min,gpu_power_w_max,gpu_power_w_delta,gpu_sm_clock_mhz_mean,gpu_sm_clock_mhz_max,gpu_mem_clock_mhz_mean,gpu_mem_clock_mhz_max,gpu_util_observed,gpu_count,gpu_names,gpu_memory_totals_mb,gpu_details,samples,cpu_model,notes
1,none,yes,10,905.4812,9.8000,7.2000,12.6000,5.4000,14.2000,11.0000,17.3000,6.3000,6.2000,2.8000,11.5000,8.7000,4.1000,1.6000,6.9000,5.3000,256.4000,220.8000,289.5000,68.7000,48.6000,45.2000,52.9000,7.7000,58.3000,52.1000,64.5000,12.4000,1785.0000,1800.0000,7025.0000,7075.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=6.20,mem_mean=4.10,mem_used_mean=256.4MB,mem_total=6144MB,temp_mean=48.6C,power_mean=58.3W,sm_clock=1785MHz,mem_clock=7050MHz",10,Intel Core i7-11800H,Synthetic reference values only
1,point,yes,10,872.9345,11.2000,8.9000,15.4000,6.5000,17.6000,13.2000,21.1000,7.9000,11.5000,4.9000,17.3000,12.4000,6.8000,3.0000,10.2000,7.2000,302.7000,268.4000,336.8000,68.4000,54.9000,50.1000,59.8000,9.7000,66.8000,60.2000,73.5000,13.3000,1812.0000,1827.0000,7050.0000,7110.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=11.50,mem_mean=6.80,mem_used_mean=302.7MB,mem_total=6144MB,temp_mean=54.9C,power_mean=66.8W,sm_clock=1812MHz,mem_clock=7080MHz",10,Intel Core i7-11800H,Synthetic reference values only
1,spot,yes,10,841.2271,12.4000,9.7000,17.9000,8.2000,20.8000,15.4000,24.6000,9.2000,15.8000,6.3000,21.9000,15.6000,9.1000,4.2000,12.5000,8.3000,328.9000,291.5000,365.4000,73.9000,60.8000,55.2000,65.7000,10.5000,72.9000,66.1000,79.6000,13.5000,1825.0000,1843.0000,7085.0000,7140.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=15.80,mem_mean=9.10,mem_used_mean=328.9MB,mem_total=6144MB,temp_mean=60.8C,power_mean=72.9W,sm_clock=1825MHz,mem_clock=7110MHz",10,Intel Core i7-11800H,Synthetic reference values only
1,both,yes,10,816.4938,13.8000,10.6000,19.8000,9.2000,22.7000,17.0000,27.5000,10.5000,19.4000,7.5000,25.6000,18.1000,11.6000,5.0000,15.3000,10.3000,351.8000,309.6000,396.2000,86.6000,64.7000,58.9000,70.2000,11.3000,76.2000,69.0000,83.8000,14.8000,1836.0000,1855.0000,7110.0000,7165.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=19.40,mem_mean=11.60,mem_used_mean=351.8MB,mem_total=6144MB,temp_mean=64.7C,power_mean=76.2W,sm_clock=1836MHz,mem_clock=7140MHz",10,Intel Core i7-11800H,Synthetic reference values only
100000,none,yes,15,342.1156,48.5000,41.2000,58.9000,17.7000,59.8000,51.0000,69.4000,18.4000,44.3000,26.5000,63.7000,37.2000,32.8000,18.7000,45.2000,26.5000,821.4000,768.2000,876.9000,108.7000,71.4000,65.9000,77.6000,11.7000,112.3000,103.4000,121.8000,18.4000,1712.0000,1735.0000,6930.0000,7005.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=44.30,mem_mean=32.80,mem_used_mean=821.4MB,mem_total=6144MB,temp_mean=71.4C,power_mean=112.3W,sm_clock=1712MHz,mem_clock=6970MHz",14,Intel Core i7-11800H,Synthetic reference values only
100000,point,yes,15,318.6073,52.2000,44.8000,63.9000,19.1000,64.7000,55.6000,75.5000,19.9000,51.8000,31.6000,72.5000,40.9000,36.4000,21.9000,49.8000,27.9000,884.2000,826.5000,941.6000,115.1000,74.9000,68.5000,81.3000,12.8000,121.6000,112.4000,131.2000,18.8000,1693.0000,1717.0000,6900.0000,6980.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=51.80,mem_mean=36.40,mem_used_mean=884.2MB,mem_total=6144MB,temp_mean=74.9C,power_mean=121.6W,sm_clock=1693MHz,mem_clock=6940MHz",14,Intel Core i7-11800H,Synthetic reference values only
100000,spot,yes,15,294.1142,55.8000,47.4000,68.2000,20.8000,69.5000,59.4000,81.6000,22.2000,58.7000,35.2000,79.9000,44.7000,40.1000,23.5000,55.8000,32.3000,936.5000,876.6000,995.1000,118.5000,77.6000,70.9000,84.1000,13.2000,128.9000,119.2000,138.5000,19.3000,1672.0000,1698.0000,6870.0000,6955.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=58.70,mem_mean=40.10,mem_used_mean=936.5MB,mem_total=6144MB,temp_mean=77.6C,power_mean=128.9W,sm_clock=1672MHz,mem_clock=6910MHz",14,Intel Core i7-11800H,Synthetic reference values only
100000,both,yes,15,261.5033,59.9000,50.6000,73.8000,23.2000,74.6000,63.5000,88.4000,24.9000,64.5000,38.4000,86.7000,48.3000,43.6000,25.1000,59.9000,34.8000,1012.3000,948.5000,1072.9000,124.4000,80.9000,73.6000,87.8000,14.2000,135.8000,125.4000,147.1000,21.7000,1651.0000,1679.0000,6840.0000,6925.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=64.50,mem_mean=43.60,mem_used_mean=1012.3MB,mem_total=6144MB,temp_mean=80.9C,power_mean=135.8W,sm_clock=1651MHz,mem_clock=6880MHz",14,Intel Core i7-11800H,Synthetic reference values only
200000,none,no,20,208.7445,63.3000,53.2000,78.5000,25.3000,82.1000,70.5000,95.9000,25.4000,51.7000,30.8000,71.2000,40.4000,24.6000,12.5000,36.8000,24.3000,612.9000,574.0000,648.8000,74.8000,68.5000,61.2000,75.9000,14.7000,142.2000,130.6000,155.8000,25.2000,1578.0000,1610.0000,6730.0000,6820.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=51.70,mem_mean=24.60,mem_used_mean=612.9MB,mem_total=6144MB,temp_mean=68.5C,power_mean=142.2W,sm_clock=1578MHz,mem_clock=6770MHz",18,Intel Core i7-11800H,Synthetic reference values only
200000,point,no,20,192.6648,66.9000,56.2000,83.1000,26.9000,88.4000,75.6000,102.8000,27.2000,57.3000,34.5000,77.8000,43.3000,27.8000,14.6000,40.7000,26.1000,668.4000,626.3000,704.5000,78.2000,71.2000,63.8000,79.9000,16.1000,151.7000,139.6000,165.2000,25.6000,1554.0000,1588.0000,6690.0000,6785.0000,yes,1,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050=6144MB,"NVIDIA GeForce RTX 3050:util_mean=57.30,mem_mean=27.80,mem_used_mean=668.4MB,mem_total=6144MB,temp_mean=71.2C,power_mean=151.7W,sm_clock=1554MHz,mem_clock=6735MHz",18,Intel Core i7-11800H,Synthetic reference values only
